移动电影①,#genre#
香港奇案,http://hwottcdn1.ln.chinamobile.com/34/16/20260710/284020702/index.m3u8
香港奇案,http://hwottcdn1.ln.chinamobile.com/34/16/20260710/284015744/index.m3u8
香港奇案,http://hwottcdn1.ln.chinamobile.com/34/16/20260715/284036042/index.m3u8
香港奇案,http://hwottcdn1.ln.chinamobile.com/34/16/20260715/284036390/index.m3u8
门牙,http://hwottcdn1.ln.chinamobile.com/34/16/20260714/284033642/index.m3u8
全员加速中之赏金猎人 电影版,http://hwottcdn1.ln.chinamobile.com/67/16/20260714/284036737/index.m3u8
蚌家镇怪谈,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260713/284028620/index.m3u8
10间敢死队,http://hwottcdn1.ln.chinamobile.com/11/16/20260716/284052735/index.m3u8
逃出夺命镇,http://hwottcdn1.ln.chinamobile.com/34/16/20260712/284029467/index.m3u8
致命潮汐​,http://hwottcdn1.ln.chinamobile.com/34/16/20260710/284025339/index.m3u8
痞子冲天猴,http://hwottcdn1.ln.chinamobile.com/11/16/20260710/284022576/index.m3u8
杨得操家的幸福,http://hwottcdn1.ln.chinamobile.com/11/16/20260710/284017679/index.m3u8
福地常熟,http://hwottcdn1.ln.chinamobile.com/11/16/20260710/284017865/index.m3u8
密林谍影,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260709/284017740/index.m3u8
诶？差点真分了 电影版,http://hwottcdn1.ln.chinamobile.com/67/16/20260708/284007873/index.m3u8
帮帮龙出动之地心奇遇记,http://hwottcdn1.ln.chinamobile.com/11/16/20260707/284004261/index.m3u8
帮帮龙出动地心奇遇记（少儿版）,http://hwottcdn1.ln.chinamobile.com/11/16/20260707/284003854/index.m3u8
青丘奇缘,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260705/283988475/index.m3u8
画梦录,http://hwottcdn1.ln.chinamobile.com/34/16/20260706/283995621/index.m3u8
画梦录,http://hwottcdn1.ln.chinamobile.com/34/16/20260706/283995907/index.m3u8
画梦录,http://hwottcdn1.ln.chinamobile.com/34/16/20260706/283995618/index.m3u8
《玩具总动员5》上美影宣传片,http://hwottcdn1.ln.chinamobile.com/36/16/20260703/283977296/index.m3u8
九叔之离奇命案,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260702/283970717/index.m3u8
谜案奇踪,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260702/283968840/index.m3u8
昆仑的回声,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260701/283960232/index.m3u8
嘉陵江上,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260701/283964829/index.m3u8
万米危机,http://hwottcdn1.ln.chinamobile.com/11/16/20260701/283964574/index.m3u8
水乡春晓,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260701/283961617/index.m3u8
庄蹻演义,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260701/283956710/index.m3u8
锦鲤人间之如愿以偿,http://hwottcdn1.ln.chinamobile.com/34/16/20260629/283949351/index.m3u8
森中有林,http://hwottcdn1.ln.chinamobile.com/34/16/20260627/283939859/index.m3u8
羽刃 电影版,http://hwottcdn1.ln.chinamobile.com/67/16/20260626/283941478/index.m3u8
幼儿园大作战,http://hwottcdn1.ln.chinamobile.com/36/16/20260625/283933484/index.m3u8
蝴蝶楼·惊魂,http://hwottcdn1.ln.chinamobile.com/11/16/20260625/283932980/index.m3u8
洺河往事,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260625/283936722/index.m3u8
沉默不该有的样子,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260624/283919249/index.m3u8
山有九色念有卿 电影版,http://hwottcdn1.ln.chinamobile.com/67/16/20260623/283917760/index.m3u8
江湖格斗家,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260621/283910596/index.m3u8
金谍行动,http://hwottcdn1.ln.chinamobile.com/34/16/20260620/283908742/index.m3u8
镖人：风起大漠（粤语）(4K至臻MAX),http://hwottcdn1.ln.chinamobile.com/50/16/20260618/283901892/index.m3u8
冲出绝境,http://hwottcdn1.ln.chinamobile.com/11/16/20260618/283900396/index.m3u8
喜欢上“欠欠”的你,http://hwottcdn1.ln.chinamobile.com/11/16/20260618/283899753/index.m3u8
镖人：风起大漠(4K至臻MAX),http://hwottcdn1.ln.chinamobile.com/50/16/20260617/283895148/index.m3u8
镖人：风起大漠,http://hwottcdn1.ln.chinamobile.com/50/16/20260617/283894660/index.m3u8
《镖人》武侠江湖尽显中式美学,http://hwottcdn1.ln.chinamobile.com/50/16/20260616/283889746/index.m3u8
神笔奇奇,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260613/283874719/index.m3u8
父爱无声,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260612/283867766/index.m3u8
梦想的力量,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260612/283872159/index.m3u8
河狸变身计划,http://hwottcdn1.ln.chinamobile.com/88888892/16/20260612/283869730/index.m3u8
河狸变身计划-普通话,http://hwottcdn1.ln.chinamobile.com/88888892/16/20260612/283869733/index.m3u8
裂流,http://hwottcdn1.ln.chinamobile.com/11/16/20260612/283863467/index.m3u8
我的妈耶,http://hwottcdn1.ln.chinamobile.com/36/16/20260611/283866345/index.m3u8
呼啸山庄2026 4K,http://hwottcdn1.ln.chinamobile.com/88888892/16/20260611/283861631/index.m3u8
呼啸山庄2026-普通话 4K,http://hwottcdn1.ln.chinamobile.com/88888892/16/20260611/283866526/index.m3u8
呼啸山庄2026,http://hwottcdn1.ln.chinamobile.com/88888892/16/20260611/283861604/index.m3u8
呼啸山庄2026-普通话,http://hwottcdn1.ln.chinamobile.com/88888892/16/20260611/283861607/index.m3u8
狄仁杰之血谜棺,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260611/283866075/index.m3u8
你留下的痕迹,http://hwottcdn1.ln.chinamobile.com/36/16/20260610/283852286/index.m3u8
破玄门,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260609/283843304/index.m3u8
少年田野 电影版,http://hwottcdn1.ln.chinamobile.com/67/16/20260608/283836623/index.m3u8
金鸡一朵云,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260608/283839838/index.m3u8
不留活口,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260606/283832678/index.m3u8
卧底神探,http://hwottcdn1.ln.chinamobile.com/34/16/20260606/283835913/index.m3u8
雇来的爸爸,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260604/283821560/index.m3u8
疯癫和尚之幻境传说,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260604/283821374/index.m3u8
无尽之海 电影版,http://hwottcdn1.ln.chinamobile.com/67/16/20260602/283810118/index.m3u8
墙头记之少儿篇,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260602/283813638/index.m3u8
闪灵,http://hwottcdn1.ln.chinamobile.com/11/16/20260601/283806104/index.m3u8
天才游戏,http://hwottcdn1.ln.chinamobile.com/11/16/20260601/283810365/index.m3u8
熊出没·年年有熊,http://hwottcdn1.ln.chinamobile.com/50/16/20260529/283800108/index.m3u8
其实不是初恋 电影版,http://hwottcdn1.ln.chinamobile.com/67/16/20260529/283794365/index.m3u8
迈克尔·杰克逊：巨星之路,http://hwottcdn1.ln.chinamobile.com/88888892/16/20260528/283795059/index.m3u8
湖海迷情,http://hwottcdn1.ln.chinamobile.com/34/16/20260528/283789430/index.m3u8
百万诱惑,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260526/283780843/index.m3u8
末日逃生2：迁移英语版,http://hwottcdn1.ln.chinamobile.com/11/16/20260525/283769048/index.m3u8
末日逃生2：迁移普通话版,http://hwottcdn1.ln.chinamobile.com/11/16/20260525/283768991/index.m3u8
消失的我 4K,http://hwottcdn1.ln.chinamobile.com/88888892/16/20260523/283760696/index.m3u8
消失的我,http://hwottcdn1.ln.chinamobile.com/88888892/16/20260523/283764786/index.m3u8
惊蛰无声(4K至臻MAX),http://hwottcdn1.ln.chinamobile.com/50/16/20260523/283763809/index.m3u8
惊蛰无声,http://hwottcdn1.ln.chinamobile.com/50/16/20260522/283756429/index.m3u8
谁不说俺家乡好,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260520/283739010/index.m3u8
朝朝如念 电影版,http://hwottcdn1.ln.chinamobile.com/67/16/20260520/283736269/index.m3u8
爱情鹤顶红,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260520/283734015/index.m3u8
超级马力欧银河大电影（普通话版）,http://hwottcdn1.ln.chinamobile.com/36/16/20260519/283726697/index.m3u8
绿皮车书店,http://hwottcdn1.ln.chinamobile.com/11/16/20260518/283717938/index.m3u8
逆风草,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260518/283711049/index.m3u8
宠它,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260516/283701969/index.m3u8
残阳猎杀,http://hwottcdn1.ln.chinamobile.com/34/16/20260515/283686110/index.m3u8
变异天使,http://hwottcdn1.ln.chinamobile.com/34/16/20260515/283690077/index.m3u8
娶媳妇儿,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260515/283685864/index.m3u8
灯火归途,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260515/283689708/index.m3u8
我，许可(4K至臻MAX),http://hwottcdn1.ln.chinamobile.com/50/16/20260515/283683645/index.m3u8
我在村里那两年,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260519/283723123/index.m3u8
我，许可,http://hwottcdn1.ln.chinamobile.com/50/16/20260515/283682247/index.m3u8
长夜将尽,http://hwottcdn1.ln.chinamobile.com/50/16/20260513/283671645/index.m3u8
长夜将尽(4K至臻MAX),http://hwottcdn1.ln.chinamobile.com/50/16/20260513/283669605/index.m3u8
哀牢山,http://hwottcdn1.ln.chinamobile.com/36/16/20260512/283663001/index.m3u8
盗影迷局,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260509/283650612/index.m3u8
乐救武林,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260509/283646510/index.m3u8
旋转吧乒乓,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260508/283648986/index.m3u8
追锋,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260507/283636469/index.m3u8
蜂蜜的针,http://hwottcdn1.ln.chinamobile.com/34/16/20260507/283633823/index.m3u8
疯狂密码,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260507/283637853/index.m3u8
伪钞重案,http://hwottcdn1.ln.chinamobile.com/11/16/20260507/283637292/index.m3u8
明日回游,http://hwottcdn1.ln.chinamobile.com/34/16/20260511/283659150/index.m3u8
红石滩阻击战,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260505/283625324/index.m3u8
变异双头蛇,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260503/283626631/index.m3u8
危险关系,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260502/283620596/index.m3u8
神秘美人鱼2之虐心爱恋,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260502/283620593/index.m3u8
拂晓计划,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260501/283617329/index.m3u8
六六大顺,http://hwottcdn1.ln.chinamobile.com/34/16/20260501/283617269/index.m3u8
东北往事极恶不赦,http://hwottcdn1.ln.chinamobile.com/11/16/20260430/283610285/index.m3u8
星河入梦(4K至臻MAX),http://hwottcdn1.ln.chinamobile.com/50/16/20260429/283608934/index.m3u8
星河入梦,http://hwottcdn1.ln.chinamobile.com/50/16/20260429/283603269/index.m3u8
英雄无声,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260429/283597340/index.m3u8
飞驰人生3,http://hwottcdn1.ln.chinamobile.com/50/16/20260429/283600632/index.m3u8
还珠 电影版,http://hwottcdn1.ln.chinamobile.com/67/16/20260429/283596179/index.m3u8
《飞驰人生3》沈腾再次带领飞驰天团,http://hwottcdn1.ln.chinamobile.com/50/16/20260429/283600047/index.m3u8
极品桃花运,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260428/283596217/index.m3u8
猎魔行动,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260428/283594974/index.m3u8
奇迹梦之队-普通话,http://hwottcdn1.ln.chinamobile.com/88888892/16/20260427/283589716/index.m3u8
非传统浪漫关系,http://hwottcdn1.ln.chinamobile.com/34/16/20260427/283586680/index.m3u8
宇宙护卫队：百变流星,http://hwottcdn1.ln.chinamobile.com/36/16/20260426/283585564/index.m3u8
长白山猎人传说2,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260425/283578458/index.m3u8
超级马力欧银河大电影,http://hwottcdn1.ln.chinamobile.com/36/16/20260424/283570358/index.m3u8
孤雁,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260423/283573654/index.m3u8
熊猫计划之部落奇遇记(4K至臻MAX),http://hwottcdn1.ln.chinamobile.com/50/16/20260422/283566518/index.m3u8
熊猫计划之部落奇遇记,http://hwottcdn1.ln.chinamobile.com/50/16/20260422/283568763/index.m3u8
乘风2025之三十而励 电影版,http://hwottcdn1.ln.chinamobile.com/67/16/20260422/283564469/index.m3u8
翠湖,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260424/283578477/index.m3u8
没问题,http://hwottcdn1.ln.chinamobile.com/34/16/20260423/283567082/index.m3u8
青春分数线,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260418/283548577/index.m3u8
男神在下,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260415/283532199/index.m3u8
梦起云上,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260414/283521290/index.m3u8
琴谱,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260413/283516719/index.m3u8
断水流大师兄,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260413/283516716/index.m3u8
红盖头下的暖阳,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260413/283516713/index.m3u8
僵尸参将2,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260412/283510388/index.m3u8
战刀屠狼2,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260411/283512771/index.m3u8
华侨女英雄李林,http://hwottcdn1.ln.chinamobile.com/11/16/20260410/283505564/index.m3u8
王牌女保镖,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260410/283505148/index.m3u8
追恶,http://hwottcdn1.ln.chinamobile.com/11/16/20260409/283496588/index.m3u8
半夜叫你别回头2,http://hwottcdn1.ln.chinamobile.com/34/16/20260407/283483985/index.m3u8
盖世神功,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260407/283488889/index.m3u8
盖世神功粤语版,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260407/283488892/index.m3u8
遇见不同的遇见,http://hwottcdn1.ln.chinamobile.com/11/16/20260407/283485963/index.m3u8
拼桌,http://hwottcdn1.ln.chinamobile.com/34/16/20260404/283481530/index.m3u8
继承风暴 电影版下,http://hwottcdn1.ln.chinamobile.com/67/16/20260403/283477843/index.m3u8
继承风暴 电影版上,http://hwottcdn1.ln.chinamobile.com/67/16/20260403/283477449/index.m3u8
戒灵,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260402/283470213/index.m3u8
人间至味,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260402/283462900/index.m3u8
盗墓大案,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260331/283449103/index.m3u8
重案无罪,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260329/283422308/index.m3u8
舒克贝塔之微缩人类,http://hwottcdn1.ln.chinamobile.com/11/16/20260402/283467356/index.m3u8
灵菁传,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260326/283413649/index.m3u8
藏剑山庄,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260325/283410513/index.m3u8
奇迹梦之队,http://hwottcdn1.ln.chinamobile.com/88888892/16/20260325/283409790/index.m3u8
大漠七雄,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260330/283436505/index.m3u8
重度催眠,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260322/283395282/index.m3u8
不被遗忘的声音,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260320/283389208/index.m3u8
吐口唾沫是个钉,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260320/283388910/index.m3u8
绝地狂奔,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260319/283378108/index.m3u8
逆流而上,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260319/283375977/index.m3u8
扫恶,http://hwottcdn1.ln.chinamobile.com/11/16/20260318/283372710/index.m3u8
看得见时间的男人,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260314/283335521/index.m3u8
永恒站,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260314/283338802/index.m3u8
风云宝石1：罗汉岩,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260314/283338411/index.m3u8
利刃之刀锋战士,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260313/283336189/index.m3u8
疯狂的酒局,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260313/283336192/index.m3u8
庇护之地,http://hwottcdn1.ln.chinamobile.com/34/16/20260313/283326821/index.m3u8
庇护之地,http://hwottcdn1.ln.chinamobile.com/34/16/20260313/283331181/index.m3u8
年年岁岁,http://hwottcdn1.ln.chinamobile.com/11/16/20260312/283328256/index.m3u8
无约而至,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260312/283328422/index.m3u8
掩护,http://hwottcdn1.ln.chinamobile.com/34/16/20260312/283323467/index.m3u8
古剑奇谭之焚寂天劫,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260312/283323886/index.m3u8
毒蜂,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260311/283312907/index.m3u8
绝命孤城,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260319/283379151/index.m3u8
飞虎神爪,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260311/283317370/index.m3u8
老周夜惊情,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260310/283307774/index.m3u8
浴血虎陇头,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260308/283295948/index.m3u8
苍雪麒麟(4K至臻MAX),http://hwottcdn1.ln.chinamobile.com/88888892/16/20260307/283296840/index.m3u8
《镖人：风起大漠》幕后纪录片,http://hwottcdn1.ln.chinamobile.com/34/16/20260311/283315628/index.m3u8
《镖人：风起大漠》幕后纪录片,http://hwottcdn1.ln.chinamobile.com/34/16/20260311/283320289/index.m3u8
庄户剧团,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260306/283294522/index.m3u8
硬汉红娘,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260306/283294519/index.m3u8
女孩,http://hwottcdn1.ln.chinamobile.com/11/16/20260305/283283855/index.m3u8
一条道走到黑,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260305/283284715/index.m3u8
风云山林,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260313/283329842/index.m3u8
救心行动,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260305/283280291/index.m3u8
陌生的爱人,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260305/283280105/index.m3u8
互换真心,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260304/283276073/index.m3u8
亭亭凤凰台,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260303/283271365/index.m3u8
追梦青年之唐囧,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260303/283271025/index.m3u8
武器之刀光剑影,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260303/283268397/index.m3u8
太空异种,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260302/283264983/index.m3u8
缉毒使命,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260301/283253180/index.m3u8
我的朋友安德烈,http://hwottcdn1.ln.chinamobile.com/11/16/20260228/283254100/index.m3u8
未来之心,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260226/283233758/index.m3u8
李逵断案,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260225/283231156/index.m3u8
拳凰,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260225/283231153/index.m3u8
我们的爱,http://hwottcdn1.ln.chinamobile.com/88888891/16/20260225/283230207/index.m3u8
